year,realinc,income,educ,health,happy,class,prestg10,paeduc,age,sex,race,marital,polviews,trust,satfin,childs,wrkstat,region,natfare
2010.0,42735.0,12.0,16.0,,2.0,3.0,60.0,,31.0,1,3.0,5.0,3.0,2.0,2.0,,1.0,1.0,
2010.0,8417.5,10.0,16.0,,3.0,2.0,33.0,18.0,23.0,0,1.0,5.0,2.0,1.0,2.0,,1.0,1.0,2.0
2010.0,11007.5,11.0,,3.0,3.0,1.0,35.0,,71.0,0,2.0,3.0,,,3.0,3.0,5.0,1.0,1.0
2010.0,4662.0,,10.0,,3.0,2.0,,2.0,82.0,0,1.0,2.0,2.0,2.0,1.0,5.0,5.0,1.0,
2010.0,,,,4.0,1.0,3.0,39.0,,78.0,0,2.0,1.0,3.0,2.0,3.0,,5.0,1.0,
2010.0,5827.5,,6.0,,2.0,2.0,38.0,,40.0,1,2.0,5.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0
2010.0,42735.0,12.0,16.0,2.0,2.0,2.0,53.0,12.0,46.0,0,2.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,
2010.0,11007.5,11.0,15.0,2.0,2.0,1.0,48.0,,80.0,0,2.0,2.0,4.0,,3.0,1.0,5.0,1.0,3.0
2010.0,,,14.0,1.0,1.0,2.0,64.0,,31.0,0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0
2010.0,,,14.0,1.0,1.0,3.0,48.0,12.0,,0,2.0,5.0,1.0,,2.0,2.0,1.0,1.0,
2010.0,28490.0,12.0,14.0,,2.0,2.0,33.0,,31.0,0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
2010.0,23310.0,12.0,13.0,2.0,2.0,2.0,,,21.0,1,3.0,5.0,4.0,,3.0,,6.0,1.0,3.0
2010.0,51800.0,12.0,12.0,1.0,2.0,2.0,24.0,,58.0,1,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0
2010.0,12302.5,11.0,13.0,2.0,2.0,2.0,,12.0,36.0,0,3.0,4.0,5.0,,2.0,3.0,7.0,1.0,
2010.0,8417.5,10.0,10.0,,3.0,1.0,24.0,,57.0,0,1.0,1.0,6.0,2.0,3.0,1.0,7.0,1.0,3.0
2010.0,2331.0,4.0,10.0,3.0,1.0,2.0,25.0,,28.0,0,1.0,5.0,3.0,2.0,2.0,1.0,7.0,1.0,
2010.0,7122.5,,14.0,3.0,2.0,3.0,47.0,12.0,80.0,0,1.0,2.0,6.0,,2.0,2.0,5.0,1.0,3.0
2010.0,,,,,2.0,3.0,32.0,,84.0,0,1.0,2.0,4.0,2.0,3.0,3.0,5.0,1.0,
2010.0,34965.0,12.0,12.0,2.0,1.0,2.0,,14.0,51.0,1,3.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0
2010.0,42735.0,12.0,16.0,,3.0,2.0,33.0,,35.0,1,1.0,5.0,3.0,2.0,3.0,,1.0,1.0,2.0
2010.0,28490.0,12.0,12.0,,2.0,2.0,49.0,12.0,49.0,1,1.0,3.0,5.0,1.0,2.0,,1.0,1.0,
2010.0,51800.0,12.0,13.0,1.0,1.0,2.0,26.0,12.0,56.0,1,1.0,1.0,3.0,,2.0,5.0,2.0,1.0,
2010.0,,,10.0,3.0,2.0,3.0,29.0,,88.0,0,2.0,5.0,,,3.0,2.0,5.0,1.0,2.0
2010.0,1813.0,3.0,10.0,,1.0,1.0,,,23.0,0,2.0,5.0,5.0,2.0,2.0,4.0,7.0,1.0,
2010.0,119606.06532,12.0,17.0,,2.0,3.0,40.0,,35.0,0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
2010.0,119606.06532,12.0,16.0,1.0,2.0,3.0,63.0,,26.0,0,1.0,5.0,5.0,2.0,2.0,,1.0,1.0,
2010.0,,,15.0,1.0,1.0,,,17.0,21.0,0,3.0,5.0,5.0,,,,,1.0,2.0
2010.0,2849.0,5.0,14.0,,2.0,2.0,16.0,,21.0,0,3.0,5.0,3.0,1.0,3.0,,2.0,1.0,
2010.0,34965.0,12.0,16.0,2.0,3.0,2.0,47.0,12.0,33.0,0,1.0,5.0,4.0,,3.0,,1.0,1.0,
2010.0,119606.06532,12.0,16.0,,2.0,4.0,58.0,16.0,53.0,0,1.0,3.0,3.0,1.0,3.0,,2.0,1.0,2.0
2010.0,,,20.0,2.0,1.0,4.0,58.0,20.0,63.0,0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,
2010.0,119606.06532,12.0,18.0,2.0,2.0,3.0,51.0,16.0,34.0,1,1.0,1.0,2.0,1.0,3.0,,4.0,1.0,1.0
2010.0,,,15.0,,3.0,3.0,53.0,,75.0,1,1.0,2.0,4.0,,2.0,,5.0,1.0,
2010.0,,,16.0,1.0,1.0,3.0,44.0,14.0,78.0,0,1.0,1.0,4.0,1.0,1.0,,5.0,1.0,
2010.0,72520.0,12.0,15.0,1.0,2.0,3.0,41.0,12.0,57.0,1,1.0,2.0,5.0,,2.0,2.0,1.0,1.0,
2010.0,,,18.0,,1.0,3.0,53.0,16.0,43.0,1,1.0,1.0,4.0,1.0,2.0,,1.0,1.0,2.0
2010.0,28490.0,12.0,16.0,1.0,1.0,3.0,48.0,16.0,84.0,0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,
2010.0,72520.0,12.0,16.0,2.0,2.0,2.0,41.0,17.0,53.0,1,1.0,1.0,5.0,,2.0,2.0,1.0,1.0,3.0
2010.0,34965.0,12.0,13.0,,2.0,3.0,50.0,,83.0,0,1.0,2.0,2.0,2.0,1.0,1.0,7.0,1.0,
2010.0,119606.06532,12.0,18.0,1.0,1.0,3.0,42.0,,69.0,1,1.0,1.0,2.0,,1.0,2.0,5.0,1.0,
2010.0,9712.5,10.0,17.0,1.0,2.0,3.0,58.0,18.0,24.0,1,1.0,5.0,2.0,1.0,2.0,,1.0,1.0,
2010.0,34965.0,12.0,18.0,,2.0,2.0,61.0,12.0,33.0,1,3.0,5.0,2.0,2.0,2.0,,1.0,1.0,
2010.0,,,13.0,3.0,2.0,2.0,29.0,12.0,23.0,0,1.0,5.0,5.0,,3.0,,2.0,1.0,
2010.0,42735.0,12.0,17.0,,2.0,3.0,46.0,,25.0,1,3.0,5.0,2.0,2.0,1.0,,1.0,1.0,1.0
2010.0,,,19.0,,1.0,3.0,38.0,12.0,66.0,0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,
2010.0,11007.5,11.0,13.0,,2.0,1.0,31.0,,20.0,1,3.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,
2010.0,42735.0,12.0,13.0,4.0,2.0,2.0,60.0,,37.0,0,1.0,5.0,2.0,2.0,2.0,,1.0,1.0,3.0
2010.0,14245.0,12.0,12.0,3.0,3.0,2.0,,,64.0,1,2.0,3.0,5.0,2.0,3.0,3.0,5.0,1.0,
2010.0,34965.0,12.0,12.0,,1.0,2.0,48.0,6.0,45.0,1,1.0,3.0,4.0,2.0,2.0,,1.0,1.0,
2010.0,,,12.0,,1.0,2.0,30.0,6.0,40.0,0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,
